Unnamed: 0,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
Kaden Helms,TE,Bellevue West,Bellevue,NE,"
                                            6",5 ," 222
                                        ",0.8958,Illinois,2022,333.0,16.0,3.0,4,Oklahoma,//247sports.com/player/kaden-helms-46097236
Micah Riley-Ducker,TE,Bellevue West,Bellevue,NE,"
                                            6",6 ," 235
                                        ",0.8883,Illinois,2022,413.0,19.0,4.0,3,Auburn,//247sports.com/player/micah-riley-ducker-46095098
Mason Taylor,TE,St. Thomas Aquinas,Fort Lauderdale,FL,"
                                            6",4.5 ," 230
                                        ",0.8811,Illinois,2022,491.0,24.0,67.0,3,LSU,//247sports.com/player/mason-taylor-46111964
Brody Foley,TE,Anderson,Cincinnati,OH,"
                                            6",5.5 ," 236
                                        ",0.8801,Illinois,2022,505.0,27.0,16.0,3,Indiana,//247sports.com/player/brody-foley-46110282
Trent McGaughey,TE,Conroe,Conroe,TX,"
                                            6",3 ," 224
                                        ",0.8696,Illinois,2022,704.0,35.0,100.0,3,Houston,//247sports.com/player/trent-mcgaughey-46085431
Chris Petrucci,TE,Maine South,Park Ridge,IL,"
                                            6",5 ," 210
                                        ",0.8647,Illinois,2022,806.0,41.0,17.0,3,Northwestern,//247sports.com/player/chris-petrucci-46100296
Josh Kattus,TE,Archbishop Moeller,Cincinnati,OH,"
                                            6",4 ," 235
                                        ",0.8505,Illinois,2022,,66.0,35.0,3,Kentucky,//247sports.com/player/josh-kattus-46097462
Owen Anderson,TE,Hun School,Princeton,NJ,"
                                            6",4 ," 235
                                        ",0.8498,Illinois,2022,,67.0,23.0,3,Illinois,//247sports.com/player/owen-anderson-46114040
Henry Boyer,TE,Brother Rice,Oak Lawn,IL,"
                                            6",6 ," 250
                                        ",0.8435,Illinois,2022,,83.0,26.0,3,Illinois,//247sports.com/player/henry-boyer-46114180
Naivyan Cargill,TE,Palm Beach Gardens,Palm Beach Gardens,FL,"
                                            6",6 ," 215
                                        ",0.8416,Illinois,2022,,88.0,189.0,3,Illinois,//247sports.com/player/naivyan-cargill-46117564
Kiyaunta Goodwin,OT,Charlestown,Charlestown,IN,"
                                            6",8 ," 340
                                        ",0.9824,Illinois,2022,38.0,6.0,1.0,4,Kentucky,//247sports.com/player/kiyaunta-goodwin-46056042
Joe Brunner,OT,Whitefish Bay,Milwaukee,WI,"
                                            6",6 ," 300
                                        ",0.9633,Illinois,2022,85.0,9.0,1.0,4,Wisconsin,//247sports.com/player/joe-brunner-46085953
Lucas Heyer,OT,Hill Murray School,Saint Paul,MN,"
                                            6",5 ," 307
                                        ",0.897,Illinois,2022,319.0,26.0,1.0,4,Stanford,//247sports.com/player/lucas-heyer-46098742
Tyrone Webber,OT,New Mexico Military Institute,Roswell,NM,"
                                            6",5 ," 290
                                        ",0.8945,Illinois,2022,4.0,2.0,1.0,4,Oklahoma State,//247sports.com/player/tyrone-webber-46113915
Ryan Baer,OT,North,Eastlake,OH,"
                                            6",7 ," 320
                                        ",0.8925,Illinois,2022,368.0,31.0,13.0,4,Pittsburgh,//247sports.com/player/ryan-baer-46085362
Percy Lewis,OT,Mississippi Gulf Coast C.C.,Perkinston,MS,"
                                            6",8 ," 360
                                        ",0.8885,Illinois,2022,5.0,3.0,1.0,3,Mississippi State,//247sports.com/player/percy-lewis-46110457
Danny McGuire,OT,Marist,Chicago,IL,"
                                            6",5 ," 270
                                        ",0.8788,Illinois,2022,524.0,39.0,9.0,3,Northwestern,//247sports.com/player/danny-mcguire-46094290
Sam Yoon,OT,Loyola,Los Angeles,CA,"
                                            6",5 ," 280
                                        ",0.8743,Illinois,2022,598.0,47.0,46.0,3,UCLA,//247sports.com/player/sam-yoon-46102844
Valen Erickson,OT,St. Rita,Chicago,IL,"
                                            6",6 ," 280
                                        ",0.8646,Illinois,2022,816.0,68.0,18.0,3,Missouri,//247sports.com/player/valen-erickson-46099193
Isaiah Montgomery,OT,Landstown,Virginia Beach,VA,"
                                            6",5 ," 280
                                        ",0.8593,Illinois,2022,942.0,83.0,24.0,3,Pittsburgh,//247sports.com/player/isaiah-montgomery-46101841
