Unnamed: 0,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
Kojo Antwi,WR,Lambert,Suwanee,GA,6,0.0,190,0.94,Alabama,2022,151.0,26.0,17.0,4,Ohio State,//247sports.com/player/kojo-antwi-46099884
Tychaun Chapman,WR,Landstown,Virginia Beach,VA,5,9.0,172,0.9233,Alabama,2022,194.0,28.0,6.0,4,North Carolina,//247sports.com/player/tychaun-chapman-46086347
Armani Winfield,WR,Lewisville,Lewisville,TX,6,2.0,180,0.9178,Alabama,2022,209.0,30.0,34.0,4,Baylor,//247sports.com/player/armani-winfield-46056649
Chandler Smith,WR,Mt. Dora,Mount Dora,FL,6,1.0,180,0.9135,Alabama,2022,227.0,33.0,26.0,4,Georgia,//247sports.com/player/chandler-smith-46101140
De'Nylon Morrissette,WR,North Cobb,Kennesaw,GA,6,0.0,197,0.909,Alabama,2022,251.0,39.0,22.0,4,Georgia,//247sports.com/player/denylon-morrissette-46056422
Isaiah Horton,WR,Oakland,Murfreesboro,TN,6,3.0,190,0.8948,Alabama,2022,346.0,52.0,11.0,4,Miami,//247sports.com/player/isaiah-horton-46058199
Phaizon Wilson,WR,Lancaster,Lancaster,TX,6,4.0,210,0.887,Alabama,2022,420.0,59.0,59.0,3,Grambling State,//247sports.com/player/phaizon-wilson-46080066
Cameron Miller,WR,Memphis Academy of Health Sciences,Memphis,TN,6,1.0,195,0.8858,Alabama,2022,434.0,64.0,15.0,3,Tennessee,//247sports.com/player/cameron-miller-46085780
Amorion Walker,WR,Ponchatoula,Ponchatoula,LA,6,4.0,175,0.8784,Alabama,2022,530.0,72.0,26.0,3,Michigan,//247sports.com/player/amorion-walker-46101297
Marquarius White,WR,Clay-Chalkville,Pinson,AL,5,10.0,155,0.8776,Alabama,2022,556.0,77.0,24.0,3,Tennessee,//247sports.com/player/marquarius-white-46111899
AJ Johnson,WR,Western,Fort Lauderdale,FL,6,2.0,205,0.8763,Alabama,2022,568.0,78.0,76.0,3,,//247sports.com/player/aj-johnson-46084604
Larry Simmons,WR,Moss Point,Moss Point,MS,6,2.0,175,0.8756,Alabama,2022,577.0,81.0,15.0,3,Ole Miss,//247sports.com/player/larry-simmons-46101006
Jake Johnson,TE,Oconee County,Watkinsville,GA,6,5.0,225,0.9587,Alabama,2022,95.0,1.0,8.0,4,Texas A&M,//247sports.com/player/jake-johnson-46052164
Oscar Delp,TE,West Forsyth,Cumming,GA,6,5.0,224,0.9577,Alabama,2022,100.0,2.0,9.0,4,Georgia,//247sports.com/player/oscar-delp-46098327
Jaleel Skinner,TE,IMG Academy,Bradenton,FL,6,5.0,216,0.9562,Alabama,2022,102.0,3.0,15.0,4,Miami,//247sports.com/player/jaleel-skinner-46058801
Donovan Green,TE,Dickinson,Dickinson,TX,6,4.0,235,0.9554,Alabama,2022,105.0,4.0,19.0,4,Texas A&M,//247sports.com/player/donovan-green-46080070
Theodor Melin Ohrstrom,TE,RIG Academy,Sweden,SWED,6,6.0,245,0.9162,Alabama,2022,214.0,6.0,1.0,4,Texas A&M,//247sports.com/player/theodor-melin-ohrstrom-46116967
Holden Staes,TE,Westminster School,Atlanta,GA,6,4.0,230,0.9026,Alabama,2022,280.0,11.0,26.0,4,Notre Dame,//247sports.com/player/holden-staes-46099767
Colston Loveland,TE,Gooding,Gooding,ID,6,5.0,230,0.8971,Alabama,2022,317.0,14.0,1.0,4,Michigan,//247sports.com/player/colston-loveland-46097145
Elijah Brown,TE,Wayne,Dayton,OH,6,5.0,230,0.897,Alabama,2022,318.0,15.0,12.0,4,Alabama,//247sports.com/player/elijah-brown-46101158
Jason Llewellyn,TE,Aledo,Aledo,TX,6,5.0,240,0.8858,Alabama,2022,436.0,21.0,63.0,3,Oklahoma,//247sports.com/player/jason-llewellyn-46111830
Mason Taylor,TE,St. Thomas Aquinas,Fort Lauderdale,FL,6,4.5,230,0.8811,Alabama,2022,491.0,24.0,67.0,3,LSU,//247sports.com/player/mason-taylor-46111964
Danny Lewis,TE,Westgate,New Iberia,LA,6,4.5,255,0.8734,Alabama,2022,624.0,31.0,30.0,3,Alabama,//247sports.com/player/danny-lewis-46112762
CJ Hawkins,TE,Berkeley Prep,Tampa,FL,6,6.0,220,0.8703,Alabama,2022,678.0,34.0,94.0,3,Stanford,//247sports.com/player/cj-hawkins-46111840
Miles Kitselman,TE,Hutchinson C.C.,Hutchinson,KS,6,5.0,250,,Alabama,2022,,,,0,Alabama,//247sports.com/player/miles-kitselman-46133499
Zach Rice,OT,Liberty Christian Academy,Lynchburg,VA,6,6.0,282,0.9937,Alabama,2022,13.0,1.0,1.0,5,North Carolina,//247sports.com/player/zach-rice-46086346
Josh Conerly Jr.,OT,Rainier Beach,Seattle,WA,6,5.0,283,0.9918,Alabama,2022,15.0,2.0,1.0,5,Oregon,//247sports.com/player/josh-conerly-jr-46057420
Kelvin Banks,OT,Summer Creek,Humble,TX,6,5.0,300,0.9843,Alabama,2022,33.0,3.0,8.0,5,Texas,//247sports.com/player/kelvin-banks-46082828
Will Campbell,OT,Neville,Monroe,LA,6,6.0,300,0.983,Alabama,2022,36.0,4.0,2.0,4,LSU,//247sports.com/player/will-campbell-46085724
Elijah Pritchett,OT,Carver,Columbus,GA,6,6.0,280,0.9825,Alabama,2022,37.0,5.0,5.0,4,Alabama,//247sports.com/player/elijah-pritchett-46100449
Kiyaunta Goodwin,OT,Charlestown,Charlestown,IN,6,8.0,340,0.9824,Alabama,2022,38.0,6.0,1.0,4,Kentucky,//247sports.com/player/kiyaunta-goodwin-46056042
Tyler Booker,OT,IMG Academy,Bradenton,FL,6,5.0,325,0.9767,Alabama,2022,57.0,7.0,10.0,4,Alabama,//247sports.com/player/tyler-booker-46057337
Jake Taylor,OT,Bishop Gorman,Las Vegas,NV,6,6.0,290,0.9431,Alabama,2022,138.0,13.0,4.0,4,Oklahoma,//247sports.com/player/jake-taylor-46094663
Collin Sadler,OT,Greenville,Greenville,SC,6,5.0,285,0.9394,Alabama,2022,153.0,14.0,5.0,4,Clemson,//247sports.com/player/collin-sadler-46098635
Jacob Sexton,OT,Deer Creek,Edmond,OK,6,5.0,285,0.909,Alabama,2022,250.0,18.0,6.0,4,Oklahoma,//247sports.com/player/jacob-sexton-46085990
Malik Agbo,OT,Todd Beamer,Federal Way,WA,6,5.5,320,0.9022,Alabama,2022,282.0,22.0,5.0,4,Texas,//247sports.com/player/malik-agbo-46059102
Tony Livingston,OT,King,Tampa,FL,6,4.0,260,0.8984,Alabama,2022,307.0,23.0,36.0,4,Florida,//247sports.com/player/tony-livingston-46097929
E'Marion Harris,OT,Joe T. Robinson,Little Rock,AR,6,7.0,370,0.8981,Alabama,2022,310.0,25.0,3.0,4,Arkansas,//247sports.com/player/emarion-harris-46051814
Aliou Bah,OT,IMG Academy,Bradenton,FL,6,5.0,325,0.8931,Alabama,2022,362.0,29.0,45.0,4,Georgia,//247sports.com/player/aliou-bah-46094353
Qae'shon Sapp,OT,Lee County,Leesburg,GA,6,4.0,325,0.8925,Alabama,2022,367.0,30.0,34.0,4,Florida State,//247sports.com/player/qaeshon-sapp-46099183
Dayne Shor,OT,Denmark,Alpharetta,GA,6,6.0,295,0.8891,Alabama,2022,397.0,33.0,36.0,3,Alabama,//247sports.com/player/dayne-shor-46099920
Travis Hunter,CB,Collins Hill,Suwanee,GA,6,1.0,165,0.9999,Alabama,2022,1.0,1.0,1.0,5,Jackson State,//247sports.com/player/travis-hunter-46084728
Domani Jackson,CB,Mater Dei,Santa Ana,CA,6,1.0,185,0.9952,Alabama,2022,5.0,2.0,1.0,5,USC,//247sports.com/player/domani-jackson-46057101
